Internal ID,First name,Last name,Email,Status,Do you own a smartphone?,What smartphone operating system/platform do you have?,What is your level of satisfaction using your current phone/phone OS?,How long ago did you purchase your current phone (years ago)?,What was your previous smartphone platform?,"If you were to purchase a smartphone today, what OS will be running on it?",What is the most common smartphone OS among your family members?,Whats the most common smartphone OS among your friend group?,Do you own a personal computer/laptop?,What operating system is running on your PC?,What is your level of satisfaction using your current laptop?,How long ago did you purchase your current PC (years ago)?,"If you were to purchase a laptop today, what operating system will be running it?",What laptop operating system is used/required at your place of employment/study?
7605223,,,,Submitted,Yes,iOS,5,3 years,iOS,iOS,iOS,iOS,Yes,MacOS,5,1 year or less,iOS,Either/Doesn't Matter
7605230,,,,Submitted,Yes,Android,3,3 years,iOS,Android,iOS,iOS,Yes,MacOS,4,4 years,iOS,Windows
7605234,,,,Submitted,Yes,iOS,4,2 years,iOS,iOS,Android,iOS,Yes,MacOS,4,1 year or less,Other,Mac OS
7605267,,,,Submitted,Yes,iOS,3,2 years,iOS,iOS,iOS,iOS,Yes,Other,3,1 year or less,iOS,Windows
7605284,,,,Submitted,Yes,iOS,4,3 years,iOS,iOS,iOS,iOS,Yes,MacOS,3,1 year or less,iOS,Either/Doesn't Matter
7605290,,,,Submitted,Yes,Android,3,2 years,Android,Android,Android,iOS,Yes,MacOS,5,3 years,iOS,Either/Doesn't Matter
7605294,,,,Submitted,Yes,iOS,4,2 years,iOS,iOS,iOS,iOS,Yes,MacOS,5,2 years,iOS,Windows
7605301,,,,Submitted,Yes,Android,5,2 years,Android,Android,Android,iOS,Yes,MacOS,5,5 years or more,iOS,Either/Doesn't Matter
7605322,,,,Submitted,Yes,iOS,4,3 years,iOS,iOS,iOS,iOS,Yes,MacOS,4,3 years,iOS,Mac OS
7605337,,,,Submitted,Yes,iOS,4,2 years,iOS,iOS,Android,iOS,Yes,MacOS,5,1 year or less,iOS,Mac OS
7605349,,,,Submitted,Yes,Android,4,2 years,Android,Android,Android,Android,Yes,Windows,4,4 years,iOS,Don't use PC at work/study
7605355,,,,Submitted,Yes,iOS,4,2 years,iOS,iOS,iOS,iOS,Yes,MacOS,4,4 years,iOS,Either/Doesn't Matter
7605357,,,,Submitted,Yes,Android,5,1 year or less,Android,Android,Android,iOS,Yes,Windows,4,2 years,Android,Either/Doesn't Matter
7605370,,,,Submitted,Yes,Android,5,2 years,Android,Android,Android,Other,Yes,MacOS,5,5 years or more,iOS,Either/Doesn't Matter
7605390,,,,Submitted,Yes,Android,5,1 year or less,Android,Android,Android,iOS,Yes,Windows,4,3 years,Android,Either/Doesn't Matter
7605394,,,,Submitted,Yes,iOS,5,1 year or less,iOS,iOS,iOS,iOS,Yes,Windows,4,1 year or less,iOS,Either/Doesn't Matter
7605396,,,,Submitted,Yes,Android,2,3 years,Didn’t have a smartphone before,Android,iOS,Android,Yes,Windows,3,1 year or less,Other,Windows
7605398,,,,Submitted,Yes,iOS,3,4 years,iOS,iOS,iOS,iOS,Yes,Windows,3,1 year or less,iOS,Windows
7605410,,,,Submitted,Yes,Android,3,1 year or less,Android,Android,Android,Android,Yes,Windows,3,1 year or less,Other,Windows
7605413,,,,Submitted,Yes,iOS,5,2 years,iOS,iOS,Other,iOS,Yes,MacOS,5,2 years,iOS,Either/Doesn't Matter
7605414,,,,Submitted,Yes,Android,5,1 year or less,iOS,Android,iOS,iOS,Yes,Windows,5,1 year or less,Other,Windows
7605426,,,,Submitted,Yes,iOS,5,1 year or less,iOS,iOS,iOS,iOS,Yes,MacOS,5,1 year or less,Other,Mac OS
7605445,,,,Submitted,Yes,iOS,5,4 years,iOS,Android,Android,iOS,Yes,MacOS,4,1 year or less,iOS,Either/Doesn't Matter
7605447,,,,Submitted,Yes,iOS,3,1 year or less,Android,Android,iOS,iOS,Yes,Windows,4,1 year or less,Android,Windows
7605449,,,,Submitted,Yes,iOS,4,2 years,iOS,iOS,iOS,iOS,Yes,MacOS,5,1 year or less,Other,Either/Doesn't Matter
7605450,,,,Submitted,Yes,iOS,5,1 year or less,iOS,iOS,iOS,iOS,Yes,MacOS,4,1 year or less,iOS,Windows
7605459,,,,Submitted,Yes,iOS,5,3 years,Android,iOS,iOS,iOS,Yes,Windows,4,1 year or less,iOS,Either/Doesn't Matter
